source,target
166188,24883
166188,54662
166188,50622
166188,75595
166188,236724
166191,24883
166191,43724
166191,54662
166191,75595
166191,236724
166192,24883
166192,43724
166192,54662
166192,75595
166192,236724
24883,131806
24883,131922
24883,132215
24883,132326
24883,132400
24883,132541
24883,132725
24883,132934
24883,132976
24883,133051
24883,133059
24883,133438
24883,133460
24883,133892
24883,134393
24883,134417
24883,134719
24883,134906
24883,134968
24883,135629
24883,135751
24883,136079
24883,136713
24883,137095
24883,137199
24883,138220
24883,138300
24883,138377
24883,138533
24883,138670
24883,138759
24883,138866
24883,139028
24883,139175
24883,139244
24883,139259
24883,139931
24883,140027
24883,140033
24883,140335
24883,140341
24883,140420
24883,140442
24883,140454
24883,140456
24883,140460
24883,140462
24883,140490
24883,140547
24883,140595
24883,140736
24883,140761
24883,140785
24883,140963
24883,141043
24883,141050
24883,141077
24883,141085
24883,141097
24883,141122
24883,141131
24883,141150
24883,141285
24883,141295
24883,141619
24883,141627
24883,141628
24883,141638
24883,141691
24883,141923
24883,141934
24883,141974
24883,142013
24883,142187
24883,142502
24883,142510
24883,142643
24883,142656
24883,142685
24883,142702
24883,142708
24883,142782
24883,142818
24883,142945
24883,142967
24883,142984
24883,143126
24883,143253
24883,143274
24883,143286
24883,143846
24883,143860
24883,143869
24883,143902
24883,143949
24883,144055
24883,144724
24883,144958
24883,145047
24883,145064
24883,145205
24883,145287
24883,145318
24883,145322
24883,145715
24883,145716
24883,145727
24883,145766
24883,145785
24883,145789
24883,145810
24883,145816
24883,145818
24883,145832
24883,145848
24883,145867
24883,145868
24883,145898
24883,145915
24883,145930
24883,145935
24883,145936
24883,145938
24883,145944
24883,145956
24883,145958
24883,145961
24883,145974
24883,145999
24883,146008
24883,146025
24883,146027
24883,146046
24883,146048
24883,146049
24883,146062
24883,146064
24883,146065
24883,146067
24883,146069
24883,146070
24883,146096
24883,146100
24883,146101
24883,146128
24883,146152
24883,146158
24883,146159
24883,146184
24883,146189
24883,146190
24883,146203
24883,146239
24883,146244
24883,146245
24883,146273
24883,146312
24883,146320
24883,146323
24883,146336
24883,146338
24883,146341
24883,146395
24883,146397
24883,146416
24883,146425
24883,146429
24883,146451
24883,146456
24883,146521
24883,146529
24883,146539
24883,146555
24883,146567
24883,146571
24883,146574
24883,146584
24883,146589
24883,146590
24883,146592
24883,146601
24883,146622
24883,146623
24883,146626
24883,146628
24883,146640
24883,146683
24883,146689
24883,146700
24883,146724
24883,146727
24883,146741
24883,146786
24883,146815
24883,146827
24883,146865
24883,146879
24883,146887
24883,146895
24883,146897
24883,146921
24883,146948
24883,147119
24883,147185
24883,147208
24883,147220
24883,147221
24883,147222
24883,147263
24883,147267
24883,147272
24883,147280
24883,147288
24883,147289
24883,147293
24883,147323
24883,147334
24883,147345
24883,147346
24883,147347
24883,147351
24883,147352
24883,147379
24883,147380
24883,147383
24883,147401
24883,147441
24883,147991
24883,148006
24883,148015
24883,148120
24883,148588
24883,148992
24883,149312
24883,149919
24883,150625
24883,150634
24883,151518
24883,152765
24883,153221
24883,153367
24883,154102
24883,154168
24883,154898
24883,155397
24883,163018
24883,163033
24883,163039
24883,163061
24883,163070
24883,163088
24883,163174
